pulse,3533,3534,3551,3533,3542,3534,3533,3541,3540,3560
space,1684,1683,1683,1685,1681,1680,1686,1681,1683,1684
pulse,492,493,494,493,493,496,494,492,494,491
space,377,376,377,376,376,374,375,375,376,374
pulse,493,493,494,495,494,496,494,493,494,494
space,1249,1248,1247,1248,1250,1247,1249,1249,1248,1249
pulse,498,494,494,493,493,494,494,493,495,494
space,372,376,376,377,374,352,377,375,376,376
pulse,493,493,494,493,493,517,498,494,495,494
space,377,375,376,377,377,376,348,376,351,375
pulse,493,495,495,493,494,494,516,494,518,495
space,377,352,375,377,375,375,375,377,376,374
pulse,493,517,495,493,495,493,494,494,494,493
space,376,376,353,377,378,376,377,374,380,382
pulse,493,493,516,493,492,494,494,492,490,489
space,377,374,350,377,377,375,375,377,375,376
pulse,493,495,519,493,494,494,494,494,494,493
space,376,375,376,376,375,376,376,377,375,376
pulse,492,493,498,492,494,494,495,494,494,494
space,377,376,369,376,377,375,376,375,376,374
pulse,494,499,496,492,494,494,494,494,494,495
space,376,372,375,377,375,377,376,375,375,376
pulse,494,494,493,494,494,493,492,494,494,494
space,376,375,375,376,376,375,374,376,375,352
pulse,493,494,494,494,493,495,498,495,494,517
space,376,375,376,383,377,380,373,374,376,377
pulse,493,494,494,486,493,489,494,495,494,493
space,377,375,376,375,376,375,376,377,375,374
pulse,494,494,493,494,494,494,494,494,494,494
space,1251,1250,1248,1250,1248,1249,1254,1250,1248,1249
pulse,489,494,494,493,495,494,489,494,494,494
space,375,376,377,377,378,377,375,377,375,376
pulse,493,494,494,493,493,494,494,502,494,493
space,377,375,376,377,376,374,375,371,376,376
pulse,492,493,494,493,501,493,493,492,497,500
space,378,376,374,376,373,375,377,376,378,375
pulse,494,494,494,493,492,495,494,492,492,490
space,376,375,376,378,376,376,375,354,376,376
pulse,493,494,494,493,494,495,494,521,495,492
space,377,377,387,375,374,375,376,367,375,376
pulse,492,494,492,495,499,494,493,493,493,497
space,377,382,374,377,367,376,376,377,379,368
pulse,494,495,492,493,493,493,495,494,486,493
space,376,371,373,378,376,375,373,375,353,375
pulse,494,493,494,494,494,494,494,494,517,493
space,1249,1249,1255,1255,1249,1258,1250,1248,1249,1249
pulse,494,496,485,488,493,489,493,494,494,494
space,1258,1242,1247,1249,1250,1247,1249,1250,1249,1249
pulse,489,493,494,492,499,493,504,493,494,494
space,1248,1249,1248,1256,1245,1253,1246,1255,1249,1249
pulse,493,494,494,485,502,486,491,487,495,494
space,376,376,375,375,367,375,377,376,380,385
pulse,493,494,494,492,492,493,493,493,491,485
space,381,375,376,377,376,376,376,375,374,375
pulse,484,494,493,492,494,494,500,493,493,494
space,1250,1250,1258,1249,1249,1248,1241,1249,1248,1249
pulse,493,502,489,494,493,495,495,493,495,494
space,375,369,372,377,376,352,349,377,376,375
pulse,493,493,493,492,493,516,516,494,494,494
space,381,375,376,376,377,376,376,380,381,375
pulse,490,493,493,493,493,494,493,491,491,493
space,376,375,376,386,377,382,377,375,374,375
pulse,493,495,494,485,492,489,494,493,494,493
space,376,376,376,376,376,376,375,375,375,381
pulse,494,494,494,492,493,493,494,495,494,490
space,386,376,377,377,376,376,376,376,375,375
pulse,484,495,494,493,494,493,493,493,494,493
space,375,376,376,376,376,377,364,377,376,376
pulse,493,494,494,492,493,492,508,494,494,493
space,375,377,375,377,377,376,376,385,353,376
pulse,493,494,494,493,493,493,493,487,516,494
space,377,376,376,377,382,376,376,373,376,376
pulse,493,494,494,493,489,493,493,493,502,499
space,377,377,375,377,376,377,375,376,369,372
pulse,493,494,495,492,493,493,495,494,494,492
space,375,375,376,377,378,376,377,376,375,375
pulse,493,494,494,492,492,493,493,494,494,494
space,376,376,382,376,376,377,376,376,375,376
pulse,492,494,489,492,493,493,493,494,493,494
space,377,383,375,377,356,377,376,377,376,376
pulse,494,487,494,492,515,493,493,493,494,494
space,377,376,376,377,375,378,376,376,353,376
pulse,493,494,495,492,495,494,493,494,517,493
space,376,376,352,377,376,375,376,376,375,375
pulse,494,494,517,497,494,501,495,493,494,494
space,376,376,375,373,354,370,374,376,376,375
pulse,493,494,494,492,515,493,492,493,494,494
space,376,375,376,377,376,377,379,376,375,376
pulse,498,495,494,492,493,493,494,494,495,494
space,374,376,376,377,377,378,376,351,376,377
pulse,492,494,494,493,493,492,499,517,494,494
space,377,376,376,377,374,375,372,376,375,376
pulse,493,494,495,492,495,494,494,497,494,493
space,376,375,376,378,377,376,376,379,375,376
pulse,493,494,494,494,495,494,494,492,494,495
space,377,376,376,376,380,377,376,374,382,381
pulse,493,494,495,493,492,494,493,493,497,493
space,376,376,377,377,374,376,377,377,374,375
pulse,494,495,493,492,494,494,494,494,493,493
space,376,376,376,378,376,376,352,375,376,375
pulse,494,494,499,492,494,493,517,493,494,494
space,376,376,377,377,375,377,377,375,375,376
pulse,493,502,491,492,493,493,494,493,494,495
space,376,372,377,377,376,377,376,379,375,374
pulse,493,492,493,493,493,494,494,487,494,493
space,376,377,374,376,379,377,377,376,377,376
pulse,492,493,495,494,486,493,494,493,497,496
space,377,374,375,384,376,381,375,376,368,345
pulse,493,494,495,491,493,494,494,494,493,517
space,376,375,350,375,377,375,377,376,377,376
pulse,494,496,518,491,494,494,493,493,494,494
